Seconds,Date_Time,CO2ppm,WVppt,RefBP,DegC1,DegC2,Volts_6,FRB_mlmin,FRC_mlmin,Chamber,TempC,RH_pct,Light_Lux,BP_kPa,Act_1,Act_2,Act_3,Act_4,Act_5,Act_6,Act_7,Act_8,Act_9,Act_10,Act_11,Act_12,Act_13,Act_14,Act_15,Act_16,c_FRC_mlmin,c_CO2ppm,CO2_mlmin,FlyChamber1,FlyChamber2,FlyChamber3,FlyChamber4,FlyChamber5,FlyChamber6,FlyChamber7,FlyChamber8,FlyChamber9,FlyChamber10,FlyChamber11,FlyChamber12,FlyChamber13,FlyChamber14,FlyChamber15,FlyChamber16,CO2_mlminFly1,CO2_mlminFly2,CO2_mlminFly3,CO2_mlminFly4,CO2_mlminFly5,CO2_mlminFly6,CO2_mlminFly7,CO2_mlminFly8,CO2_mlminFly9,CO2_mlminFly10,CO2_mlminFly11,CO2_mlminFly12,CO2_mlminFly13,CO2_mlminFly14,CO2_mlminFly15,CO2_mlminFly16
0,62647.48,-3.9535,25.0382,96.1365,19.865,19.8586,2.5028,24.98,25.58,12,20.66,32.27,5.2,101.646,0,0,0,0.26,0,0,0,0,0,0.37,5.97,0.02,0,0.01,0.58,0,25.62282,3.120005E-06,7.994334E-05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.994334E-05,0,0,0,0
1,62647.48,-4.4531,25.0292,96.1356,19.8594,19.8423,2.5032,25.1,25.65,12,20.66,32.29,5.19,101.647,0,0,0,0,0,0,0,7.23,0,0,3.75,0.21,0,0,0,0,25.62282,3.097351E-06,7.936287E-05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.936287E-05,0,0,0,0
2,62647.48,-4.4434,25.0159,96.1372,19.8533,19.8306,2.5029,25.07,25.66,12,20.66,32.29,4.82,101.647,0,0,0,0,0,0,0,8.19,0,0,3.61,0.12,0,0,0,0,25.62282,3.071388E-06,7.869762E-05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.869762E-05,0,0,0,0
3,62647.48,-4.4414,25.0299,96.1383,19.8599,19.8292,2.5031,25.06,25.61,12,20.66,32.29,4.61,101.647,0,0,0,0,0,0,0,8.36,0,0,2.03,0.07,0,0,0,0,25.62282,3.05816E-06,7.83587E-05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.83587E-05,0,0,0,0
4,62647.48,-4.4597,25.0353,96.1407,19.8732,19.8356,2.5034,24.97,25.58,12,20.66,32.29,4.85,101.646,0,0,0,0,0,0,0,7.51,0,0,1.14,0.04,0,0,0,0,25.62282,3.037974E-06,7.784147E-05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.784147E-05,0,0,0,0
5,62647.48,-4.4733,25.0383,96.1359,19.8656,19.8263,2.5034,25.06,25.62,12,20.66,32.29,4.82,101.646,0,0,0,0,0,0,0,4.23,0,0,2.14,0.02,0,0,0,0,25.62282,3.011319E-06,7.715849E-05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.715849E-05,0,0,0,0
6,62647.48,-4.4748,25.0444,96.1345,19.8556,19.8319,2.5034,25.1,25.65,12,20.66,32.29,4.82,101.646,0,0,0,0,0,0,0,2.38,0,0,1.21,0.01,3.38,0,0,0,25.62282,3.000637E-06,7.68848E-05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.68848E-05,0,0,0,0
7,62647.48,-4.4725,25.027,96.134,19.8527,19.8344,2.501,25.02,25.59,12,20.66,32.29,4.84,101.646,0,0,0,0,0,0,0,1.34,0,0,0.68,0.01,3.02,0,0,0,25.62282,2.974981E-06,7.622742E-05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.622742E-05,0,0,0,0
8,62647.48,-4.4736,25.0287,96.1354,19.8524,19.8382,2.5035,24.94,25.58,12,20.66,32.29,4.96,101.646,0,0,0,0,0,0,0,0.75,0,0,0.38,0,4.89,0,0,0,25.62511,2.949173E-06,7.557289E-05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.557289E-05,0,0,0,0
9,62647.48,-4.4591,25.03,96.1347,19.8578,19.8497,2.5039,25.15,25.78,12,20.66,32.29,4.82,101.646,0,0,0,0,0,0,0,0.42,0,0,0.21,0,2.75,0,0,0,25.62663,2.918937E-06,7.480252E-05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.480252E-05,0,0,0,0
