,Seconds,Date_Time,CO2ppm,WVppt,RefBP,DegC1,DegC2,Volts_6,FRB_mlmin,FRC_mlmin,TC1,TC1.1,RH_pct,Light_Lux,BP_kPa,Act_1,Act_2,Act_3,Act_4,Act_5,Act_6,Act_7,Act_8,Act_9,Act_10,Act_11,Act_12,Act_13,Act_14,Act_15,Act_16,c_FRC_mlmin,c_CO2ppm,CO2_mlmin,FlyChamber1,FlyChamber2,FlyChamber3,FlyChamber4,FlyChamber5,FlyChamber6,FlyChamber7,FlyChamber8,FlyChamber9,FlyChamber10,FlyChamber11,FlyChamber12,FlyChamber13,FlyChamber14,FlyChamber15,FlyChamber16,CO2_mlminFly1,CO2_mlminFly2,CO2_mlminFly3,CO2_mlminFly4,CO2_mlminFly5,CO2_mlminFly6,CO2_mlminFly7,CO2_mlminFly8,CO2_mlminFly9,CO2_mlminFly10,CO2_mlminFly11,CO2_mlminFly12,CO2_mlminFly13,CO2_mlminFly14,CO2_mlminFly15,CO2_mlminFly16
1,0,61962.88,-3.7886,25.0347,95.541,5.0633,6.8589,2.5029,24.95,25.46,16,23.05,27.48,105.88,100.833,146.48,137.2,128.81,131.95,137.77,129.19,160.5,140.88,146.03,94.87,106.12,109.31,107.81,105.14,102.14,73.83,25.58575,2.00E-06,5.11E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.11E-05
2,1,61962.88,-4.4465,25.0396,95.5446,5.0872,6.9523,2.5046,24.99,25.44,16,22.73,27.93,3.99,100.831,108.92,101.61,105.2,99.94,115.16,121.74,135.17,120.58,111.07,116.08,97.36,106.54,96.59,129.54,133.69,111.67,25.58575,1.98E-06,5.06E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.06E-05
3,2,61962.88,-4.4798,25.0438,95.5466,5.101,6.9602,2.5027,24.94,25.43,16,22.73,28.41,3.39,100.832,61.27,57.16,59.17,56.21,66.27,69.98,77.54,67.83,62.48,65.3,54.76,59.93,72.44,72.87,75.2,62.81,25.58575,1.96E-06,5.02E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.02E-05
4,3,61962.88,-4.5152,25.0394,95.5454,5.1003,6.9609,2.5033,24.95,25.46,16,22.73,28.41,3.28,100.833,34.46,32.15,33.29,31.62,38.4,39.36,45.11,38.15,36.64,39.73,41.07,44.95,40.75,42.11,42.3,35.33,25.58575,1.94E-06,4.95E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.95E-05
5,4,61962.88,-4.5479,25.0447,95.5458,5.0993,6.9618,2.5045,25.12,25.67,16,22.73,28.41,3.46,100.833,19.39,18.08,18.72,17.79,22.73,22.14,25.38,22.59,20.61,22.35,18.17,20.65,18.88,26.5,25.48,22.12,25.58575,1.92E-06,4.91E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.91E-05
6,5,61962.88,-4.5934,25.0311,95.5476,5.1072,6.9548,2.504,25.02,25.6,16,22.73,28.78,4.37,100.834,8.18,7.63,8.74,9.89,11.98,11.31,11.55,10.37,8.7,9.43,10.22,11.61,10.62,11.18,10.75,9.33,25.58575,1.91E-06,4.88E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.88E-05
7,6,61962.88,-4.6206,25.0326,95.5479,5.1136,6.9584,2.5053,25.01,25.56,16,22.73,28.98,4.41,100.834,6.13,5.72,6.56,7.42,8.98,8.48,8.66,7.78,6.52,7.07,5.75,6.53,7.96,8.39,8.06,7,25.58575,1.88E-06,4.80E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.80E-05
8,7,61962.88,-4.6574,25.0333,95.5482,5.1273,6.9578,2.5043,24.99,25.53,16,22.73,28.98,4.27,100.835,3.45,3.22,3.69,4.17,5.05,4.77,4.87,4.38,3.67,3.98,3.23,3.68,4.48,4.72,4.54,3.94,25.58575,1.84E-06,4.71E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.71E-05
9,8,61962.88,-4.6921,25.0261,95.5499,5.134,6.9594,2.5045,24.95,25.53,16,22.73,28.98,3.89,100.834,1.94,1.81,2.07,2.35,2.84,2.68,2.74,2.46,2.06,2.24,1.82,2.07,1.89,1.99,2.55,2.21,25.60111,1.83E-06,4.69E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69E-05
10,9,61962.88,-4.7305,25.0426,95.5511,5.1357,6.9671,2.5041,25.13,25.65,16,22.73,28.98,4.51,100.834,0.82,1.02,1.17,1.32,1.6,1.51,1.54,1.38,1.16,1.26,1.02,1.16,1.06,1.12,1.08,0.93,25.58238,1.85E-06,4.72E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.72E-05
11,10,61962.88,-4.7477,25.0403,95.5533,5.1422,6.9599,2.5039,25.07,25.59,16,22.73,29.16,3.92,100.834,0.61,0.57,0.66,0.74,0.9,0.85,0.87,0.78,0.65,0.71,0.58,0.65,0.6,0.63,0.81,0.7,25.56453,1.86E-06,4.75E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.75E-05
12,11,61962.88,-4.7774,25.0323,95.5483,5.1409,6.9685,2.504,25.04,25.59,16,22.73,29.16,4.01,100.834,0.35,0.32,0.37,0.42,0.51,0.48,0.49,0.44,0.37,0.4,0.32,0.37,0.34,0.35,0.45,0.39,25.54898,1.86E-06,4.74E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.74E-05
13,12,61962.88,-4.8124,25.0319,95.5482,5.1431,6.9632,2.5034,25.01,25.57,16,22.73,29.16,4.01,100.833,0.19,0.18,0.21,0.24,0.28,0.27,0.27,0.25,0.21,0.22,0.18,0.21,0.19,0.27,0.26,0.22,25.5454,1.85E-06,4.72E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.72E-05
14,13,61962.88,-4.861,25.0265,95.5448,5.1523,6.9564,2.5036,24.97,25.5,16,22.41,29.16,4.01,100.833,0.08,0.08,0.09,0.1,0.12,0.11,0.15,0.14,0.12,0.13,0.1,0.12,0.11,0.11,0.11,0.09,25.54852,1.84E-06,4.69E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69E-05
15,14,61962.88,-4.8845,25.0327,95.5477,5.1551,6.9564,2.5034,24.95,25.52,16,22.41,29.13,4.01,100.833,0.06,0.06,0.07,0.07,0.09,0.09,0.09,0.08,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.07,25.55556,1.82E-06,4.65E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.65E-05
16,15,61962.88,-4.9208,25.0169,95.5468,5.161,6.9521,2.504,24.92,25.4,16,22.41,29.13,4.03,100.832,0.03,0.03,0.04,0.04,0.05,0.05,0.05,0.04,0.04,0.04,0.03,0.04,0.03,0.04,0.05,0.04,25.55023,1.80E-06,4.61E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.61E-05
17,16,61962.88,-4.9453,25.0309,95.5448,5.1567,6.9502,2.5036,25.1,25.64,16,22.41,29.13,4.03,100.832,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,25.52441,1.78E-06,4.54E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.54E-05
18,17,61962.88,-4.9609,25.0349,95.5421,5.161,6.9477,2.5043,24.98,25.59,16,22.41,29.13,4.08,100.832,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,25.53012,1.75E-06,4.47E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47E-05
19,18,61962.88,-4.992,25.0332,95.543,5.1714,6.9455,2.5036,24.97,25.52,16,22.31,29.13,4.28,100.832,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,25.54092,1.74E-06,4.44E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44E-05
20,19,61962.88,-5.0359,25.0305,95.5408,5.1712,6.9493,2.5035,25.14,25.62,16,22.31,28.91,4.03,100.832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.55138,1.72E-06,4.40E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.40E-05
21,20,61962.88,-5.0459,25.0356,95.5435,5.1769,6.9469,2.5041,25.09,25.55,16,22.31,28.91,4.37,100.832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.55369,1.69E-06,4.32E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32E-05
22,21,61962.88,-5.0761,25.0335,95.544,5.1852,6.9437,2.5039,24.96,25.45,16,22.31,28.91,4.13,100.832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.55578,1.67E-06,4.27E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27E-05
23,22,61962.88,-5.1037,25.0292,95.5451,5.182,6.9448,2.5039,24.91,25.48,16,22.31,28.91,4.47,100.832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.56193,1.69E-06,4.32E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32E-05
