"Chamber","cycle","median_co2_ul.h","median_time","median_temp","mean_activity","median_activity","activity_state","quality","source.data"
1,"1",7.560897,350.5,30.5355,0.273333333333333,0.095,"Inactive","pass","005-FH-25-30C-2022-03-21_trans_isol_R.csv"
2,"1",7.730622,468.5,30.5499,1.699,1.085,"Active","pass","005-FH-25-30C-2022-03-21_trans_isol_R.csv"
3,"1",8.244399,588.5,30.5583,2.33638095238095,1.06,"Active","pass","005-FH-25-30C-2022-03-21_trans_isol_R.csv"
4,"1",9.050856,708.5,30.5753,2.28822222222222,1.04,"Active","pass","005-FH-25-30C-2022-03-21_trans_isol_R.csv"
5,"1",10.492572,828.5,30.5936,4.32764705882353,2.5,"Active","pass","005-FH-25-30C-2022-03-21_trans_isol_R.csv"
6,"1",8.507259,948.5,30.5961,2.62045871559633,1.59,"Active","pass","005-FH-25-30C-2022-03-21_trans_isol_R.csv"
7,"1",8.797452,1068,30.5913,11.4681690140845,9.14,"Active","pass","005-FH-25-30C-2022-03-21_trans_isol_R.csv"
8,"1",8.7423,1187.5,30.5932,8.74857142857143,5.99,"Active","pass","005-FH-25-30C-2022-03-21_trans_isol_R.csv"
9,"1",9.671184,1307.5,30.60115,11.5064166666667,6.95,"Active","pass","005-FH-25-30C-2022-03-21_trans_isol_R.csv"
10,"1",8.112624,1427.5,30.6047,1.8846835443038,0.93,"Active","pass","005-FH-25-30C-2022-03-21_trans_isol_R.csv"
11,"1",13.338888,1547.5,30.6052,13.6536440677966,9.705,"Active","pass","005-FH-25-30C-2022-03-21_trans_isol_R.csv"
12,"1",9.214689,1667.5,30.6027,NA,NA,"Inactive","pass","005-FH-25-30C-2022-03-21_trans_isol_R.csv"
13,"1",8.77845,1786.5,30.60345,8.60633027522936,3.25,"Active","pass","005-FH-25-30C-2022-03-21_trans_isol_R.csv"
14,"1",8.433102,1905.5,30.5964,0.692307692307692,0.17,"Inactive","pass","005-FH-25-30C-2022-03-21_trans_isol_R.csv"
15,"1",2.1997623,2025.5,30.59965,NA,NA,"Inactive","pass","005-FH-25-30C-2022-03-21_trans_isol_R.csv"
16,"1",2.6587347,2145.5,30.5962,NA,NA,"Inactive","pass","005-FH-25-30C-2022-03-21_trans_isol_R.csv"
