"","Seconds","Date_Time","CO2ppm","WVppt","RefBP","DegC1","DegC2","Volts_6","FRB_mlmin","FRC_mlmin","Chamber","TC1","RH_pct","Light_Lux","BP_kPa","Act_1","Act_2","Act_3","Act_4","Act_5","Act_6","Act_7","Act_8","Act_9","Act_10","Act_11","Act_12","Act_13","Act_14","Act_15","Act_16","c_FRC_mlmin","c_CO2ppm","CO2_mlmin","FlyChamber1","FlyChamber2","FlyChamber3","FlyChamber4","FlyChamber5","FlyChamber6","FlyChamber7","FlyChamber8","FlyChamber9","FlyChamber10","FlyChamber11","FlyChamber12","FlyChamber13","FlyChamber14","FlyChamber15","FlyChamber16","CO2_mlminFly1","CO2_mlminFly2","CO2_mlminFly3","CO2_mlminFly4","CO2_mlminFly5","CO2_mlminFly6","CO2_mlminFly7","CO2_mlminFly8","CO2_mlminFly9","CO2_mlminFly10","CO2_mlminFly11","CO2_mlminFly12","CO2_mlminFly13","CO2_mlminFly14","CO2_mlminFly15","CO2_mlminFly16"
"1",0,61962.05,-4.9967,25.0332,95.0058,4.8971,6.4417,2.5031,25.04,25.79,15,20.94,19.24,4.78,100.116,0,0,0.84,0,0,0,2.23,0,0.76,0,0,0,0,0,3.64,0.12,25.69485,1.887599e-06,4.850157e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.850157e-05,0
"2",1,61962.05,-5.2118,25.0308,95.0102,4.9155,6.3975,2.5035,24.9,25.73,15,20.94,18.84,5.08,100.119,0,0,0,0,0,0,5.63,0,0.11,0,0,3.38,0,0,0.57,1.5,25.69485,1.881863e-06,4.835419e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.835419e-05,0
"3",2,61962.05,-5.2396,25.0449,95.0087,4.9175,6.3855,2.5034,25.1,25.88,15,20.94,18.84,5.11,100.119,0,0,0,0,0,0,4.63,0,0.05,0,0,1.9,0,0,0.32,0.84,25.69485,1.870986e-06,4.807472e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.807472e-05,0
"4",3,61962.05,-5.2352,25.048,95.0107,4.918,6.3835,2.5029,24.93,25.65,15,20.94,18.75,4.75,100.119,0,0,0,0,0,0,3.47,0,0.04,0,0,1.07,0,0,0.18,5.73,25.69485,1.846139e-06,4.743626e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.743626e-05,0
"5",4,61962.05,-5.2554,25.0341,95.0097,4.9087,6.3818,2.5028,24.92,25.61,15,20.94,18.75,4.82,100.119,0,0,0,0,0,0,3.08,0,0.02,0,0,0.6,0,0,0.1,7.72,25.69485,1.827735e-06,4.696338e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.696338e-05,0
"6",5,61962.05,-5.2745,25.0337,95.0091,4.9048,6.3794,2.5038,25.01,25.7,15,20.94,18.75,5.03,100.119,0,0,0,0,0,0,7.73,0,0.01,0,0,0.34,0,0,0.06,5.47,25.69485,1.817081e-06,4.668962e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.668962e-05,0
"7",6,61962.05,-5.2784,25.0407,95.0108,4.9072,6.3752,2.5033,25,25.7,15,20.94,18.75,4.39,100.119,0,0,0,0,0,0,9.97,0,0.01,0,0,0.19,0,0,0.03,4.58,25.69485,1.806251e-06,4.641136e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.641136e-05,0
"8",7,61962.05,-5.2868,25.0392,95.0108,4.899,6.367,2.505,25.06,25.73,15,20.94,18.75,4.46,100.119,0,0,0,0,0,0,7.72,0,0,0,0,0.11,0,0,0.02,2.57,25.69485,1.794588e-06,4.611167e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.611167e-05,0
"9",8,61962.05,-5.3015,25.0288,95.0116,4.8971,6.3683,2.5039,25.12,25.78,15,20.94,18.75,4.78,100.12,0,0,0,0,0,0,10.91,0,0,0,0,0.05,0,0,0.01,3.7,25.71545,1.780415e-06,4.578416e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.578416e-05,0
"10",9,61962.05,-5.2955,25.0273,95.0129,4.8983,6.366,2.5039,24.98,25.68,15,20.94,18.75,4.42,100.119,0,0,0,0,0,0,10.45,0,0,0,0,0.03,0,0,0.01,4.33,25.71669,1.760462e-06,4.527325e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.527325e-05,0
"11",10,61962.05,-5.3032,25.0335,95.0122,4.8989,6.3601,2.5029,24.94,25.63,15,20.94,18.75,4.78,100.12,0,0,0,0,0,0,9.81,0,0,0,0,0.02,0,0,0,4.12,25.73022,1.751718e-06,4.507209e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.507209e-05,0
