Seconds,Date_Time,CO2ppm,WVppt,RefBP,DegC1,DegC2,Volts_6,FRB_mlmin,FRC_mlmin,Chamber,TempC,RH_pct,Light_Lux,BP_kPa,Act_1,Act_2,Act_3,Act_4,Act_5,Act_6,Act_7,Act_8,Act_9,Act_10,Act_11,Act_12,Act_13,Act_14,Act_15,Act_16,c_FRC_mlmin,c_CO2ppm,CO2_mlmin,FlyChamber1,FlyChamber2,FlyChamber3,FlyChamber4,FlyChamber5,FlyChamber6,FlyChamber7,FlyChamber8,FlyChamber9,FlyChamber10,FlyChamber11,FlyChamber12,FlyChamber13,FlyChamber14,FlyChamber15,FlyChamber16,CO2_mlminFly1,CO2_mlminFly2,CO2_mlminFly3,CO2_mlminFly4,CO2_mlminFly5,CO2_mlminFly6,CO2_mlminFly7,CO2_mlminFly8,CO2_mlminFly9,CO2_mlminFly10,CO2_mlminFly11,CO2_mlminFly12,CO2_mlminFly13,CO2_mlminFly14,CO2_mlminFly15,CO2_mlminFly16
0,61962.07,1.4316,25.0396,95.6535,5.0265,6.204,2.504,24.97,25.77,16,18.74,17.58,4.14,100.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.89271,1.501059E-06,3.886647E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.886647E-05
1,61962.07,1.6048,25.0366,95.6643,5.0159,6.1946,2.5032,24.96,25.78,16,18.66,17.88,3.73,101.003,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,25.89271,1.506173E-06,3.89989E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89989E-05
2,61962.07,1.6001,25.0338,95.661,5.0186,6.1879,2.5028,25.04,25.87,16,18.57,17.88,3.73,101.003,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,25.89271,1.504541E-06,3.895663E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.895663E-05
3,61962.07,1.6033,25.0328,95.6635,5.0068,6.1893,2.5026,24.9,25.74,16,18.57,17.88,3.77,101.003,0,0,2.93,0,0,0,0,0,0,0,3.94,0,0,0,0,0,25.89271,1.506918E-06,3.901817E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.901817E-05
4,61962.07,1.597,25.0354,95.6659,5.0084,6.1918,2.5038,25.08,25.99,16,18.57,17.88,3.73,101.002,0,0,1.23,0,0,0,0,0,0,0,2.21,0,0,0,0,0,25.89271,1.498799E-06,3.880797E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.880797E-05
5,61962.07,1.6001,25.0425,95.663,5.0176,6.1875,2.5029,24.96,25.74,16,18.57,17.88,4.14,101.002,0,0,0.69,0,0,0,0,0,0,0,1.25,0,0,0,0,0,25.89271,1.492408E-06,3.864248E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.864248E-05
6,61962.07,1.5847,25.032,95.6623,5.0131,6.1877,2.5033,24.98,25.82,16,18.57,17.93,3.7,101.001,0,0,0.39,0,0,0,0,0,0,0,0.7,0,0,0,0,0,25.89271,1.494503E-06,3.869672E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.869672E-05
7,61962.07,1.58,25.0305,95.6634,5.018,6.1862,2.5025,25.05,25.91,16,18.57,17.93,3.75,101.001,0,0,0.22,0,0,0,0,0,0,0,0.39,0,0,0,0,0,25.89271,1.487213E-06,3.850796E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.850796E-05
8,61962.07,1.5752,25.0254,95.6606,5.0167,6.1876,2.5036,25.06,25.96,16,18.57,17.93,3.73,101,0,0,0.12,0,0,0,0,0,0,0,0.22,0,0,0,0,0,25.89206,1.476626E-06,3.823289E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.823289E-05
9,61962.07,1.5712,25.0288,95.6606,5.0194,6.1914,2.5038,25.05,25.92,16,18.57,17.93,3.79,100.999,0,0,0.07,0,0,0,0,0,0,0,0.12,0,0,0,0,0,25.8919,1.473414E-06,3.814948E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.814948E-05
10,61962.07,1.5614,25.031,95.6627,5.0191,6.1915,2.5037,25.1,25.96,16,18.57,17.93,3.73,100.999,0,0,0.04,0,0,0,0,0,0,0,0.07,0,0,0,0,0,25.90004,1.470144E-06,3.807679E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.807679E-05
11,61962.07,1.5464,25.0373,95.6605,5.0124,6.1875,2.5032,24.98,25.77,16,18.57,17.93,3.73,100.998,0,0,0.02,0,0,0,0,0,0,0,0.04,0,0,0,0,0,25.87674,1.468169E-06,3.799142E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.799142E-05
12,61962.07,1.5431,25.0356,95.658,5.0191,6.1849,2.504,25.08,25.96,16,18.57,17.93,4.14,100.997,0,0,0.01,0,0,0,0,0,0,0,0.02,0,0,0,0,0,25.88218,1.464451E-06,3.79032E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79032E-05
13,61962.07,1.5554,25.0355,95.6577,5.0142,6.1841,2.5038,25.01,25.82,16,18.57,17.93,3.7,100.996,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,25.87249,1.454261E-06,3.762534E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.762534E-05
14,61962.07,1.5394,25.0343,95.6575,5.007,6.1857,2.5039,24.94,25.81,16,18.57,17.93,3.7,100.996,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,25.86123,1.444705E-06,3.736185E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.736185E-05
15,61962.07,1.5401,25.0304,95.6549,4.997,6.1835,2.5043,24.98,25.89,16,18.57,17.93,3.7,100.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.84484,1.437421E-06,3.714991E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.714991E-05
16,61962.07,1.5341,25.0317,95.655,4.9928,6.1833,2.5039,25,25.84,16,18.57,17.93,4.06,100.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.85018,1.435818E-06,3.711616E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.711616E-05
17,61962.07,1.5148,25.0332,95.6551,4.9964,6.1829,2.5044,24.96,25.79,16,18.57,17.93,4.07,100.994,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,25.85151,1.430063E-06,3.696929E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.696929E-05
