"","Seconds","Date_Time","CO2ppm","WVppt","RefBP","DegC1","DegC2","Volts_6","FRB_mlmin","FRC_mlmin","Chamber","TC1","RH_pct","Light_Lux","BP_kPa","Act_1","Act_2","Act_3","Act_4","Act_5","Act_6","Act_7","Act_8","Act_9","Act_10","Act_11","Act_12","Act_13","Act_14","Act_15","Act_16","c_FRC_mlmin","c_CO2ppm","CO2_mlmin","FlyChamber1","FlyChamber2","FlyChamber3","FlyChamber4","FlyChamber5","FlyChamber6","FlyChamber7","FlyChamber8","FlyChamber9","FlyChamber10","FlyChamber11","FlyChamber12","FlyChamber13","FlyChamber14","FlyChamber15","FlyChamber16","CO2_mlminFly1","CO2_mlminFly2","CO2_mlminFly3","CO2_mlminFly4","CO2_mlminFly5","CO2_mlminFly6","CO2_mlminFly7","CO2_mlminFly8","CO2_mlminFly9","CO2_mlminFly10","CO2_mlminFly11","CO2_mlminFly12","CO2_mlminFly13","CO2_mlminFly14","CO2_mlminFly15","CO2_mlminFly16"
"1",0,61962.25,0.1452,25.0341,94.9369,19.931,19.9071,2.5044,24.73,24.72,0,21.04,16.46,3.72,100.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.07024,3.445491e-09,8.637928e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1,61962.25,0.1373,25.0312,94.9285,19.9291,19.9043,2.5034,25.1,25.05,0,21.02,16.53,3.72,100.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.07024,3.854521e-09,9.663374e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2,61962.25,0.1331,25.0291,94.9292,19.9267,19.91,2.5018,25.07,25.06,0,21.02,16.53,4.05,100.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.07024,-9.984016e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",3,61962.25,0.1293,25.033,94.9268,19.9259,19.9029,2.5013,25.05,25.04,0,21.02,16.53,3.72,100.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.07024,-6.020218e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",4,61962.25,0.1306,25.0316,94.9263,19.9267,19.8965,2.5025,25.09,25.05,0,21.02,16.53,3.89,100.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.07024,1.860195e-08,4.663554e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",5,61962.25,0.1309,25.0183,94.9259,19.9244,19.895,2.503,25.05,25.05,0,21.02,16.53,3.72,100.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.07024,2.723158e-08,6.827022e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",6,61962.25,0.1147,25.0227,94.9302,19.9248,19.9026,2.5019,25.05,25.04,0,21.02,16.53,4.13,100.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.07024,2.843566e-08,7.128886e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",7,61962.25,0.1121,25.0292,94.9312,19.9189,19.8991,2.5023,25.03,25.05,0,21.02,16.53,3.72,100.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.07024,2.797999e-08,7.01465e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",8,61962.25,0.1088,25.0368,94.9268,19.9241,19.9069,2.5032,25.11,25.08,0,21.02,16.55,3.72,100.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.04884,2.710442e-08,6.789344e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",9,61962.25,0.1081,25.0323,94.9283,19.9161,19.9071,2.5012,25.05,25.05,0,21.02,16.55,3.72,100.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.04605,2.625377e-08,6.575532e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
