"","Seconds","Date_Time","CO2ppm","WVppt","RefBP","DegC1","DegC2","Volts_6","FRB_mlmin","FRC_mlmin","Chamber","TC1","RH_pct","Light_Lux","BP_kPa","Act_1","Act_2","Act_3","Act_4","Act_5","Act_6","Act_7","Act_8","Act_9","Act_10","Act_11","Act_12","Act_13","Act_14","Act_15","Act_16","c_FRC_mlmin","c_CO2ppm","CO2_mlmin","FlyChamber1","FlyChamber2","FlyChamber3","FlyChamber4","FlyChamber5","FlyChamber6","FlyChamber7","FlyChamber8","FlyChamber9","FlyChamber10","FlyChamber11","FlyChamber12","FlyChamber13","FlyChamber14","FlyChamber15","FlyChamber16","CO2_mlminFly1","CO2_mlminFly2","CO2_mlminFly3","CO2_mlminFly4","CO2_mlminFly5","CO2_mlminFly6","CO2_mlminFly7","CO2_mlminFly8","CO2_mlminFly9","CO2_mlminFly10","CO2_mlminFly11","CO2_mlminFly12","CO2_mlminFly13","CO2_mlminFly14","CO2_mlminFly15","CO2_mlminFly16"
"1",0,61962.33,-0.2292,25.039,95.0161,19.8942,19.924,2.5029,24.75,24.73,0,20.8,17.61,3.35,100.133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66,0,24.93214,-7.918269e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1,61962.33,-0.2261,25.0443,95.0143,19.8967,19.9295,2.5038,25.14,25.1,0,20.8,17.17,3.57,100.133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.93214,6.660223e-10,1.660536e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2,61962.33,-0.233,25.04,95.0126,19.8975,19.9219,2.504,24.83,24.77,0,20.8,17.17,3.35,100.133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.93214,2.037618e-08,5.080217e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",3,61962.33,-0.237,25.0484,95.0108,19.8974,19.9192,2.5046,24.76,24.81,0,20.8,17.17,3.6,100.133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.93214,1.869543e-08,4.661171e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",4,61962.33,-0.234,25.0262,95.0146,19.9042,19.9256,2.5043,24.76,24.8,0,20.8,17.17,3.35,100.133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.93214,1.31246e-08,3.272244e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",5,61962.33,-0.2234,25.0316,95.0129,19.8979,19.9226,2.5038,24.78,24.79,0,20.8,17.17,3.39,100.133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.93214,1.350325e-08,3.366651e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",6,61962.33,-0.2235,25.035,95.0128,19.9005,19.9171,2.5031,24.79,24.77,0,20.8,17.17,3.28,100.133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.93214,1.93978e-08,4.836286e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",7,61962.33,-0.2198,25.0372,95.0133,19.8888,19.9197,2.5033,24.75,24.78,0,20.8,17.17,3.35,100.133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.93214,9.45434e-09,2.35717e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",8,61962.33,-0.2163,25.0349,95.0149,19.8947,19.9209,2.5047,25.09,25.11,0,20.8,17.17,3.32,100.133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.99127,-2.929747e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",9,61962.33,-0.1805,25.0336,95.0153,19.8913,19.9147,2.5037,25.15,25.16,0,20.8,17.17,3.35,100.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.08529,-3.89035e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
