Seconds,Date_Time,CO2ppm,WVppt,RefBP,DegC1,DegC2,Volts_6,FRB_mlmin,FRC_mlmin,Chamber,TempC,RH_pct,Light_Lux,BP_kPa,Act_1,Act_2,Act_3,Act_4,Act_5,Act_6,Act_7,Act_8,Act_9,Act_10,Act_11,Act_12,Act_13,Act_14,Act_15,Act_16,c_FRC_mlmin,c_CO2ppm,CO2_mlmin,FlyChamber1,FlyChamber2,FlyChamber3,FlyChamber4,FlyChamber5,FlyChamber6,FlyChamber7,FlyChamber8,FlyChamber9,FlyChamber10,FlyChamber11,FlyChamber12,FlyChamber13,FlyChamber14,FlyChamber15,FlyChamber16,CO2_mlminFly1,CO2_mlminFly2,CO2_mlminFly3,CO2_mlminFly4,CO2_mlminFly5,CO2_mlminFly6,CO2_mlminFly7,CO2_mlminFly8,CO2_mlminFly9,CO2_mlminFly10,CO2_mlminFly11,CO2_mlminFly12,CO2_mlminFly13,CO2_mlminFly14,CO2_mlminFly15,CO2_mlminFly16
0,61962.13,149.5274,25.0279,95.6112,6.0259,7.0358,2.5031,24.93,25.6,16,20.5,18.16,3.79,100.938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.84937,1.375856E-04,3.556502E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.556502E-03
1,61962.13,149.5342,25.0381,95.6194,5.8872,6.9628,2.5039,25.04,25.9,16,20.5,17.15,3.82,100.942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.84937,1.37603E-04,3.55695E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55695E-03
2,61962.13,149.5322,25.0315,95.6191,5.8892,6.9578,2.5041,25.02,25.92,16,20.5,17.15,3.79,100.943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.84937,1.37608E-04,3.55708E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55708E-03
3,61962.13,149.5195,25.0365,95.6157,5.8807,6.9556,2.5034,24.96,25.76,16,20.5,17.15,3.82,100.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.84937,1.37614E-04,3.557235E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.557235E-03
4,61962.13,149.5178,25.0168,95.6172,5.8625,6.9528,2.5038,25.12,25.87,16,20.5,17.14,3.97,100.945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.84937,1.376283E-04,3.557604E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.557604E-03
5,61962.13,149.5102,25.0233,95.6169,5.8631,6.9542,2.5037,25.05,25.77,16,20.5,17.14,3.82,100.946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.84937,1.37641E-04,3.557934E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.557934E-03
6,61962.13,149.538,25.0329,95.6192,5.8532,6.9458,2.5029,25.08,25.84,16,20.5,17.14,3.84,100.947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.84937,1.376668E-04,3.558599E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.558599E-03
7,61962.13,149.5376,25.019,95.6198,5.8418,6.9416,2.5037,24.99,25.86,16,20.5,17.14,3.82,100.947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.84937,1.376602E-04,3.558428E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.558428E-03
8,61962.13,149.5545,25.0218,95.621,5.8417,6.9325,2.5046,25.01,25.87,16,20.5,17.14,4.15,100.948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.80433,1.376448E-04,3.551833E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.551833E-03
9,61962.13,149.5498,25.0193,95.6234,5.8273,6.9281,2.5036,24.98,25.78,16,20.5,17.14,3.82,100.949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.80248,1.376452E-04,3.551587E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.551587E-03
